ANIO;PROVINCIA;INV_ID_PESOS_CORR;
2004;Buenos Aires;644;
2004;Catamarca;12;
2004;Chaco;12;
2004;Chubut;25;
2004;Ciudad de Buenos Aires;545;
2004;Córdoba;149;
2004;Corrientes;25;
2004;Entre Ríos;30;
2004;Formosa;5;
2004;Jujuy;14;
2004;La Pampa;12;
2004;La Rioja;8;
2004;Mendoza;72;
2004;Misiones;14;
2004;Neuquén;15;
2004;Río  Negro;39;
2004;Salta;27;
2004;San Juan;32;
2004;San Luis;41;
2004;Santa Cruz;6;
2004;Santa Fe;146;
2004;Santiago del Estero;9;
2004;Tierra del Fuego;12;
2004;Tucumán;65;
2005;Buenos Aires;858;
2005;Catamarca;18;
2005;Chaco;15;
2005;Chubut;29;
2005;Ciudad de Buenos Aires;678;
2005;Córdoba;170;
2005;Corrientes;29;
2005;Entre Ríos;38;
2005;Formosa;6;
2005;Jujuy;16;
2005;La Pampa;13;
2005;La Rioja;10;
2005;Mendoza;84;
2005;Misiones;18;
2005;Neuquén;15;
2005;Río  Negro;49;
2005;Salta;33;
2005;San Juan;37;
2005;San Luis;48;
2005;Santa Cruz;8;
2005;Santa Fe;176;
2005;Santiago del Estero;11;
2005;Tierra del Fuego;14;
2005;Tucumán;77;
2006;Buenos Aires;1111;
2006;Catamarca;27;
2006;Chaco;27;
2006;Chubut;36;
2006;Ciudad de Buenos Aires;891;
2006;Córdoba;240;
2006;Corrientes;41;
2006;Entre Ríos;50;
2006;Formosa;4;
2006;Jujuy;22;
2006;La Pampa;26;
2006;La Rioja;16;
2006;Mendoza;116;
2006;Misiones;27;
2006;Neuquén;23;
2006;Río  Negro;69;
2006;Salta;35;
2006;San Juan;43;
2006;San Luis;62;
2006;Santa Cruz;11;
2006;Santa Fe;232;
2006;Santiago del Estero;15;
2006;Tierra del Fuego;15;
2006;Tucumán;97;
2007;Buenos Aires;1394;
2007;Catamarca;32;
2007;Chaco;21;
2007;Chubut;38;
2007;Ciudad de Buenos Aires;1084;
2007;Córdoba;339;
2007;Corrientes;58;
2007;Entre Ríos;65;
2007;Formosa;20;
2007;Jujuy;43;
2007;La Pampa;31;
2007;La Rioja;27;
2007;Mendoza;149;
2007;Misiones;28;
2007;Neuquén;34;
2007;Río  Negro;69;
2007;Salta;53;
2007;San Juan;79;
2007;San Luis;96;
2007;Santa Cruz;13;
2007;Santa Fe;282;
2007;Santiago del Estero;21;
2007;Tierra del Fuego;15;
2007;Tucumán;134;
2008;Buenos Aires;1751;
2008;Catamarca;50;
2008;Chaco;25;
2008;Chubut;56;
2008;Ciudad de Buenos Aires;1546;
2008;Córdoba;368;
2008;Corrientes;72;
2008;Entre Ríos;84;
2008;Formosa;25;
2008;Jujuy;52;
2008;La Pampa;47;
2008;La Rioja;44;
2008;Mendoza;186;
2008;Misiones;67;
2008;Neuquén;55;
2008;Río  Negro;106;
2008;Salta;67;
2008;San Juan;106;
2008;San Luis;131;
2008;Santa Cruz;19;
2008;Santa Fe;315;
2008;Santiago del Estero;42;
2008;Tierra del Fuego;23;
2008;Tucumán;174;
2009;Buenos Aires;2342;
2009;Catamarca;61;
2009;Chaco;55;
2009;Chubut;125;
2009;Ciudad de Buenos Aires;1875;
2009;Córdoba;637;
2009;Corrientes;66;
2009;Entre Ríos;98;
2009;Formosa;24;
2009;Jujuy;56;
2009;La Pampa;35;
2009;La Rioja;33;
2009;Mendoza;254;
2009;Misiones;47;
2009;Neuquén;47;
2009;Río  Negro;408;
2009;Salta;89;
2009;San Juan;107;
2009;San Luis;95;
2009;Santa Cruz;25;
2009;Santa Fe;504;
2009;Santiago del Estero;51;
2009;Tierra del Fuego;17;
2009;Tucumán;235;
2010;Buenos Aires;2998;
2010;Catamarca;70;
2010;Chaco;48;
2010;Chubut;115;
2010;Ciudad de Buenos Aires;2348;
2010;Córdoba;854;
2010;Corrientes;160;
2010;Entre Ríos;129;
2010;Formosa;30;
2010;Jujuy;66;
2010;La Pampa;73;
2010;La Rioja;39;
2010;Mendoza;328;
2010;Misiones;55;
2010;Neuquén;61;
2010;Río  Negro;514;
2010;Salta;98;
2010;San Juan;134;
2010;San Luis;116;
2010;Santa Cruz;64;
2010;Santa Fe;625;
2010;Santiago del Estero;60;
2010;Tierra del Fuego;25;
2010;Tucumán;312;
2011;Buenos Aires;3865;
2011;Catamarca;88;
2011;Chaco;70;
2011;Chubut;137;
2011;Ciudad de Buenos Aires;3270;
2011;Córdoba;1095;
2011;Corrientes;163;
2011;Entre Ríos;175;
2011;Formosa;37;
2011;Jujuy;89;
2011;La Pampa;80;
2011;La Rioja;91;
2011;Mendoza;370;
2011;Misiones;91;
2011;Neuquén;79;
2011;Río  Negro;706;
2011;Salta;118;
2011;San Juan;190;
2011;San Luis;183;
2011;Santa Cruz;66;
2011;Santa Fe;867;
2011;Santiago del Estero;79;
2011;Tierra del Fuego;30;
2011;Tucumán;391;
2012;Buenos Aires;5331;
2012;Catamarca;108;
2012;Chaco;150;
2012;Chubut;193;
2012;Ciudad de Buenos Aires;4266;
2012;Córdoba;1499;
2012;Corrientes;196;
2012;Entre Ríos;194;
2012;Formosa;55;
2012;Jujuy;152;
2012;La Pampa;112;
2012;La Rioja;124;
2012;Mendoza;514;
2012;Misiones;184;
2012;Neuquén;122;
2012;Río  Negro;1024;
2012;Salta;158;
2012;San Juan;234;
2012;San Luis;259;
2012;Santa Cruz;87;
2012;Santa Fe;1089;
2012;Santiago del Estero;100;
2012;Tierra del Fuego;42;
2012;Tucumán;555;
2013;Buenos Aires;6886;
2013;Catamarca;133;
2013;Chaco;165;
2013;Chubut;256;
2013;Ciudad de Buenos Aires;4978;
2013;Córdoba;1851;
2013;Corrientes;169;
2013;Entre Ríos;206;
2013;Formosa;62;
2013;Jujuy;163;
2013;La Pampa;117;
2013;La Rioja;152;
2013;Mendoza;576;
