organizacion_id;nombre;tipo_institucion_id
1;PRESIDENCIA DE LA NACION;74
2;MINISTERIO DE DEFENSA;74
3;MINISTERIO DE HACIENDA;74
4;MINISTERIO DEL INTERIOR;74
5;MINISTERIO DE RELACIONES EXTERIORES Y CULTO;74
6;MINISTERIO DE EDUCACION, CIENCIA Y TECNOLOGIA;6
7;GOBIERNO DE LA CIUDAD AUTONOMA DE BUENOS AIRES;74
8;GOBIERNO DE LA PROVINCIA DE BUENOS AIRES;74
9;GOBIERNO DE LA PROVINCIA DE CORDOBA;74
10;GOBIERNO DE LA PROVINCIA DE CORRIENTES;74
11;GOBIERNO DE LA PROVINCIA DEL CHUBUT;74
12;GOBIERNO DE LA PROVINCIA DE ENTRE RIOS;74
13;GOBIERNO DE LA PROVINCIA DE MENDOZA;74
14;GOBIERNO DE LA PROVINCIA DEL NEUQUEN;74
15;GOBIERNO DE LA PROVINCIA DE SALTA;74
16;GOBIERNO DE LA PROVINCIA DE SAN JUAN;74
17;GOBIERNO DE LA PROVINCIA DE SAN LUIS;74
18;GOBIERNO DE LA PROVINCIA DE SANTA FE;74
19;GOBIERNO DE LA PROVINCIA DE TUCUMAN;74
20;PODER LESGISLATIVO DE LA REPUBLICA ARGENTINA;74
21;INSTITUTO DE INVESTIGACIONES EN CIENCIAS DE LA SALUD;73
22;COMISION NACIONAL DE ENERGIA ATOMICA;73
23;DEPARTAMENTO DE FISICA;73
24;DEPARTAMENTO DE MATERIALES;73
25;CENTRO ATOMICO BARILOCHE;73
26;DEPARTAMENTO DE INVESTIGACION BASICA;73
27;DEPARTAMENTO DE INVESTIGACION APLICADA;73
28;DEPARTAMENTO DE INGENIERIA NUCLEAR;73
29;GERENCIA DE AREA DE APLICACIONES DE LA TECNOLOGIA  NUCLEAR;73
30;DIVISION BIOQUIMICA NUCLEAR;73
31;SECRETARIA DE CIENCIA, TECNOLOG.E INNOVACION PRODUCTIVA;6
32;SECRETARIA DE CULTURA DE LA NACION;74
33;BIBLIOTECA NACIONAL MARIANO MORENO;74
34;COMISION NACIONAL MUSEOS MONUMEN.Y LUGAR.HISTORICOS;74
35;FONDO NACIONAL DE LAS ARTES;74
36;COMPLEJO DE MUSEOS DE ARTES Y CIENCIAS;74
37;"MUSEO ARGENTINO DE CIENCIAS NATURALES ""BERNARDINO RIVADAVIA""";73
38;"MUSEO Y ARCHIVO HISTORICO ""BARTOLOME MITRE""";74
39;INSTITUTO NACIONAL DE MUSICOLOGIA;74
40;INSTITUTO NACIONAL DE ANTROPOLOGIA;74
41;INSTITUTO INVEST.CIENTIFICAS Y TECNICAS DE LAS FFAA;6
42;GRUPO DE ANALISIS DE SISTEMAS MECANICOS;75
43;DIRECCION NACIONAL DEL ANTARTICO;74
